row_id,source_id,population_group,population,sport_program,sex,division,phase,years,endpoint,diagnosis,events,denom_value,denom_unit,orig_rate,orig_rate_unit,orig_ci,denom_type,quality,notes
N01,S01,NCAA,NCAA all sports,all,both,I-III,all,2009-2015,EHI_any,exertional heat illness,232,4908478,athlete-exposures,0.47,per10000AE,"0.41-0.53",observed,A,"NCAA-ISP; sanctioned practice/comp only"
N02,S01,NCAA,NCAA all sports,all,both,I-III,preseason,2009-2015,EHI_any,exertional heat illness,150,1293103,athlete-exposures,1.16,per10000AE,NA,observed,B,"preseason practice; AE reconstructed from rate"
N03,S01,NCAA,NCAA all sports,all,both,I-III,non-preseason,2009-2015,EHI_any,exertional heat illness,82,3565217,athlete-exposures,0.23,per10000AE,NA,observed,B,"AE reconstructed"
N04,S01,NCAA,NCAA all sports,all,both,I-III,all,2009-2015,serious_transport,EHI requiring emergency transport,19,4908478,athlete-exposures,0.0387,per10000AE,NA,observed,A,"8% of 232 EHI; SERIOUS ENDPOINT anchor"
N05,S01,NCAA football,football,football,M,I-III,all,2009-2015,EHI_any,exertional heat illness,174,1122581,athlete-exposures,1.55,per10000AE,"1.32-1.78",observed,A,"AE=174/1.55*10000"
N06,S01,NCAA football,football,football,M,I-III,preseason,2009-2015,EHI_any,exertional heat illness,NA,NA,athlete-exposures,3.65,per10000AE,NA,observed,B,"preseason IRR 5.82 vs other"
N07,S01,NCAA,men's basketball,basketball,M,I-III,all,2009-2015,EHI_any,exertional heat illness,12,292683,athlete-exposures,0.41,per10000AE,"0.18-0.65",observed,A,"AE reconstructed"
N08,S01,NCAA,women's soccer,soccer,W,I-III,all,2009-2015,EHI_any,exertional heat illness,8,266667,athlete-exposures,0.30,per10000AE,"0.09-0.50",observed,A,NA
N09,S01,NCAA,men's soccer,soccer,M,I-III,all,2009-2015,EHI_any,exertional heat illness,6,193548,athlete-exposures,0.31,per10000AE,"0.06-0.56",observed,A,NA
N10,S01,NCAA,women's outdoor track,track,W,I-III,all,2009-2015,EHI_any,exertional heat illness,6,101695,athlete-exposures,0.59,per10000AE,"0.12-1.07",observed,A,NA
N11,S01,NCAA,men's wrestling,wrestling,M,I-III,all,2009-2015,EHI_any,exertional heat illness,3,103448,athlete-exposures,0.29,per10000AE,"0.00-0.61",observed,A,NA
N12,S01,NCAA,men's cross-country,cross-country,M,I-III,all,2009-2015,EHI_any,exertional heat illness,3,62500,athlete-exposures,0.48,per10000AE,"0.00-1.02",observed,A,NA
N13,S01,NCAA,women's lacrosse,lacrosse,W,I-III,all,2009-2015,EHI_any,exertional heat illness,1,142857,athlete-exposures,0.07,per10000AE,"0.00-0.20",observed,A,"AE=1/0.07*10000"
N14,S01,NCAA,men's lacrosse,lacrosse,M,I-III,all,2009-2015,EHI_any,exertional heat illness,0,NA,athlete-exposures,0.00,per10000AE,NA,observed,A,"zero EHI events"
N15,S08a,NCAA football,football,football,M,I-III,all_conditioning,1998-2018,death_nontraumatic,non-traumatic exertional death,34,1285095,player-years,2.65,per100000py,NA,observed,A,"Boden OJSM 2020 Pt1; NCAA-pure; 100% in conditioning"
N16,S08a,NCAA football,football,football,M,I-III,conditioning,1998-2018,death_EHS,exertional heat stroke death,8,1285095,player-years,0.62,per100000py,NA,observed,A,NA
N17,S08a,NCAA football,football,football,M,I-III,conditioning,1998-2018,death_sickling,exertional sickling death,12,1285095,player-years,0.93,per100000py,NA,observed,A,"SCT; OR vs HS 22.1"
N18,S08a,NCAA football,football,football,M,I-III,conditioning,1998-2018,death_SCD,sudden cardiac death,13,1285095,player-years,1.01,per100000py,NA,observed,A,NA
N19,S08d,NCAA,NCAA all sports,all,both,I-III,all,2002-2022,death_SCD,sudden cardiac death,143,9106516,athlete-years,1.57,per100000ay,"1.33-1.85",observed,A,"Petek 2024; exertional 50%"
N20,S08d,NCAA,NCAA all sports,all,both,I-III,exertion,2002-2022,death_SCD_exertional,exertional sudden cardiac death,72,9106516,athlete-years,0.79,per100000ay,NA,observed,B,"50% of 143 exertional"
N21,S08d,NCAA,NCAA all sports,all,both,I-III,all,2003-2013,death_heat,heat illness death,3,4242519,athlete-years,0.071,per100000ay,NA,observed,A,"Harmon 2015; 1:1,414,173"
N22,S08d,NCAA,NCAA all sports,all,both,I-III,all,2003-2013,death_sickling,SCT-associated death,10,4242519,athlete-years,0.236,per100000ay,NA,observed,A,"Harmon 2015; 1:424,252"
N23,S08f,NCAA,NCAA all sports,all,both,I-III,conditioning,2007-2019,rhabdo_outbreak,exertional rhabdomyolysis (outbreak census),57,NA,NA,NA,NA,NA,unavailable,D,"9 outbreaks 8 institutions 51 hospitalized; NO denominator"
N24,S08g,NCAA lacrosse,lacrosse combined,lacrosse,both,I-III,all,1982-2020,catastrophic_any,catastrophic incl non-traumatic,17,NA,athlete-seasons,0.5,per100000as,"0.4-0.7",observed,B,"Moseley 2024; college subset; IRR vs HS 3.2"
M01,S02,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,rhabdo,exertional rhabdomyolysis,95,23150,recruit-person-years,410.4,per100000py,NA,reconstructed,B,"denom derived from MSMR paired count/rate; 13x other ranks"
M02,S02,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,rhabdo_inpatient,exertional rhabdomyolysis hospitalized,22,23150,recruit-person-years,95.0,per100000py,NA,reconstructed,B,"23.2% of recruit cases inpatient"
M03,S04,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,heat_stroke,exertional heat stroke,27,23150,recruit-person-years,116.6,per100000py,NA,reconstructed,B,"serious by definition"
M04,S04,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,heat_exhaustion,heat exhaustion,553,23150,recruit-person-years,2388.9,per100000py,NA,reconstructed,B,NA
M05,S04,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,heat_any,all heat illness,580,23150,recruit-person-years,2505.5,per100000py,NA,reconstructed,B,NA
M06,S02,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2025,rhabdo,exertional rhabdomyolysis,62,28310,recruit-person-years,219.0,per100000py,NA,reconstructed,B,"20 inpatient 32.3%"
M07,S04,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2025,heat_stroke,exertional heat stroke,36,28310,recruit-person-years,127.1,per100000py,NA,reconstructed,B,NA
M08,S04,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2025,heat_exhaustion,heat exhaustion,414,28310,recruit-person-years,1462.2,per100000py,NA,reconstructed,B,NA
M09,S05,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_nontraumatic,non-traumatic sudden death,126,969231,recruit-person-years,13.0,per100000py,NA,reconstructed,B,"Eckart 2004; 6.3M recruits; denom=126/13.0*100000; 86% exercise-related"
M10,S05,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_exercise,exercise-related sudden death,108,969231,recruit-person-years,11.1,per100000py,NA,reconstructed,B,"86% of 126"
M11,S05,Military-recruit,Female recruits,initial-entry training,W,NA,training,1977-2001,death_nontraumatic,non-traumatic sudden death,15,131579,recruit-person-years,11.4,per100000py,"6.9-18.9",reconstructed,B,"Eckart 2006; 852,300 women"
M12,S05,Military-recruit,Marine recruits,USMC recruit training,mixed,NA,training,1982-1991,heat_any,exertional heat illness,1454,50077,recruit-person-years,NA,NA,NA,reconstructed,B,"Kark 1996; 217000 recruits x 12wk=50077 py; cum inc 0.67%; 11% male hosp"
M13,S05,Military-recruit,Marine recruits,USMC recruit training,M,NA,training,1982-1991,heat_hospitalized,EHI hospitalized (male),142,45069,recruit-person-years,NA,NA,NA,reconstructed,C,"11% of ~1294 male cases; illustrative"
M14,S05,Military-recruit,Army male recruits,Army BCT,M,NA,training,2004-2006,rhabdo,clinically diagnosed rhabdomyolysis,1086,NA,soldiers,0.19,percent,NA,observed,C,"Hill 2017; first 90d OR 2.05; not recruit-restricted period"
M15,S05,Military-recruit,AF BMT trainees,Air Force BMT,mixed,NA,training,1999,heat_any,heat illness,51,39231,recruit-person-years,1.3,per1000trainees,NA,reconstructed,C,"Smalley 2003; 5 heat stroke; denom=39231 trainees x 7.5wk approx"
M16,S09,Military-recruit,Army BCT recruits,Army BCT,mixed,NA,training,2014-2018,heat_any,exertional heat illness,1210,3362271,person-weeks,3.6,per10000pw,"3.4-3.8",observed,A,"Barnes 2019; OBSERVED person-time; 4 BCT sites"
M17,S09,Military-recruit,Army BCT Fort Benning,Army BCT,mixed,NA,training,2014-2018,heat_any,exertional heat illness,205,30185,person-weeks,6.8,per10000pw,NA,observed,A,"highest site; 31326 recruits"
M18,S09,Military-recruit,Army BCT recruits,Army BCT,mixed,NA,preseason_phase1,2014-2018,heat_any,exertional heat illness,686,1055385,person-weeks,6.5,per10000pw,NA,observed,A,"Barnes phase1 wk1-3; preseason analogue"
M19,S09,Military-recruit,New Army enlistees,Army initial service,mixed,NA,first-year,2011-2014,heat_severe,severe heat illness,732,427922,person-years,171.1,per100000py,NA,observed,B,"Nelson 2018; broader than recruit-only"
M20,S09,Military-recruit,Army IET Fort Benning,Army IET,mixed,NA,training,2017-2021,heat_stroke,exertional heat stroke,349,NA,NA,NA,NA,NA,unavailable,C,"DeGroot; no denom; 250 hospitalized; 1 death"
M21,S10,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_exercise,exercise-related death,141,969231,recruit-person-years,14.6,per100000py,"12.4-17.2",observed,B,"Scoville/Borden; old regime pre-screening"
M22,S10,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_heat,exertional heat illness death,30,969231,recruit-person-years,3.09,per100000py,NA,observed,B,"Scoville/Borden; 13/30 had SCT"
M23,S10,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_SCD_exertional,exercise-related sudden cardiac death,60,969231,recruit-person-years,6.17,per100000py,NA,observed,B,"Scoville/Borden"
M24,S10,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,1977-2001,death_sickling,exertional sickling death (SCT),27,969231,recruit-person-years,2.78,per100000py,NA,observed,B,"Scoville/Borden; old regime"
M25,S10,Military-recruit,USAF BMT trainees,Air Force BMT,mixed,NA,training,2008-2020,death_nontraumatic,non-traumatic death,5,463000,trainees,1.08,per100000trainees,NA,observed,B,"Butler 2023; modern regime; 2 sickling; per accession"
M26,S10,Military-recruit,All-service recruit trainees,initial-entry training,mixed,NA,training,2024,hyponatremia,exertional hyponatremia,11,23256,recruit-person-years,47.3,per100000py,NA,reconstructed,B,"MSMR; 87.7% ambulatory"
M27,S10,Military-active,Black active-duty Army,Army,mixed,NA,active,2011-2014,rhabdo,exertional rhabdomyolysis,391,134167,person-years,291,per100000py,NA,observed,B,"Nelson 2016; broad def; SCT HR 1.54; NOT recruit"
